id	prop	target	targetocc	spf	name
1	0.0	0.5	0	1.0	VALUE_1
2	0.0	0.5	0	1.0	VALUE_2
3	0.0	0.5	0	1.0	VALUE_3
4	0.0	0.5	0	1.0	VALUE_4
5	0.0	0.5	0	1.0	VALUE_5
6	0.0	0.0	0	1.0	VALUE_6
7	0.0	0.0	0	1.0	VALUE_7
8	0.0	0.0	0	1.0	VALUE_8
9	0.0	0.0	0	1.0	VALUE_9
10	0.0	0.0	0	1.0	VALUE_10
11	0.0	0.0	0	1.0	VALUE_11
12	0.0	0.0	0	1.0	VALUE_12
13	0.0	0.0	0	1.0	VALUE_13
14	0.0	0.0	0	1.0	VALUE_14
15	0.0	0.0	0	1.0	VALUE_15
16	0.0	0.0	0	1.0	VALUE_16
17	0.0	0.0	0	1.0	VALUE_17
18	0.0	0.0	0	1.0	VALUE_18
19	0.0	0.0	0	1.0	VALUE_19
20	0.0	0.0	0	1.0	VALUE_20
21	0.0	0.0	0	1.0	VALUE_21
22	0.0	0.0	0	1.0	VALUE_22
23	0.0	0.0	0	1.0	VALUE_23
24	0.0	0.0	0	1.0	VALUE_24
25	0.0	0.0	0	1.0	VALUE_25
26	0.0	0.0	0	1.0	VALUE_26
27	0.0	0.0	0	1.0	VALUE_27
28	0.0	0.0	0	1.0	VALUE_28
29	0.0	0.0	0	1.0	VALUE_29
30	0.0	0.0	0	1.0	VALUE_30
31	0.0	0.0	0	1.0	VALUE_31
32	0.0	0.0	0	1.0	VALUE_32
33	0.0	0.0	0	1.0	VALUE_33
34	0.0	0.0	0	1.0	VALUE_34
35	0.0	0.0	0	1.0	VALUE_35
36	0.0	0.0	0	1.0	VALUE_36
37	0.0	0.0	0	1.0	VALUE_37
38	0.0	0.0	0	1.0	VALUE_38
39	0.0	0.0	0	1.0	VALUE_39
40	0.0	0.0	0	1.0	VALUE_40
41	0.0	0.0	0	1.0	VALUE_41
42	0.0	0.0	0	1.0	VALUE_42
43	0.0	0.0	0	1.0	VALUE_43
44	0.0	0.0	0	1.0	VALUE_44
45	0.0	0.0	0	1.0	VALUE_45
46	0.0	0.0	0	1.0	VALUE_46
47	0.0	0.0	0	1.0	VALUE_47
48	0.0	0.0	0	1.0	VALUE_48
49	0.0	0.0	0	1.0	VALUE_49
50	0.0	0.0	0	1.0	VALUE_50
51	0.0	0.0	0	1.0	VALUE_51
52	0.0	0.0	0	1.0	VALUE_52
53	0.0	0.0	0	1.0	VALUE_53
54	0.0	0.0	0	1.0	VALUE_54
55	0.0	0.0	0	1.0	VALUE_55
56	0.0	0.0	0	1.0	VALUE_56
57	0.0	0.0	0	1.0	VALUE_57
58	0.0	0.0	0	1.0	VALUE_58
59	0.0	0.0	0	1.0	VALUE_59
